"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"        Estimate","(X)","6.5%","8.7%","24.8%","30.8%","10.9%","10.6%","7.6%","84.8%","18.3%"
"Santa Fe County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","109,637","5,818","5,524","26,507","19,789","6,281","23,949","21,769","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.3%","5.0%","24.2%","18.0%","5.7%","21.8%","19.9%","89.7%","41.7%"
"    Males","","","","","","","","","",""
"        Estimate","52,554","3,044","3,041","14,021","8,719","1,785","11,280","10,664","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.8%","5.8%","26.7%","16.6%","3.4%","21.5%","20.3%","88.4%","41.8%"
"    Females","","","","","","","","","",""
"        Estimate","57,083","2,774","2,483","12,486","11,070","4,496","12,669","11,105","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.9%","4.3%","21.9%","19.4%","7.9%","22.2%","19.5%","90.8%","41.6%"
"Valencia County, New Mexico","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","51,370","2,262","6,200","17,246","12,607","3,896","5,859","3,300","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.4%","12.1%","33.6%","24.5%","7.6%","11.4%","6.4%","83.5%","17.8%"
"    Males","","","","","","","","","",""
"        Estimate","25,740","1,104","3,411","9,076","6,447","1,317","2,924","1,461","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.3%","13.3%","35.3%","25.0%","5.1%","11.4%","5.7%","82.5%","17.0%"
"    Females","","","","","","","","","",""
"        Estimate","25,630","1,158","2,789","8,170","6,160","2,579","2,935","1,839","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.5%","10.9%","31.9%","24.0%","10.1%","11.5%","7.2%","84.6%","18.6%"
"Albany County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","204,813","5,133","12,078","46,857","30,275","23,127","45,316","42,027","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.5%","5.9%","22.9%","14.8%","11.3%","22.1%","20.5%","91.6%","42.6%"
"    Males","","","","","","","","","",""
"        Estimate","96,578","2,138","5,143","23,781","15,185","10,019","21,108","19,204","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.2%","5.3%","24.6%","15.7%","10.4%","21.9%","19.9%","92.5%","41.7%"
"    Females","","","","","","","","","",""
"        Estimate","108,235","2,995","6,935","23,076","15,090","13,108","24,208","22,823","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.8%","6.4%","21.3%","13.9%","12.1%","22.4%","21.1%","90.8%","43.5%"
"Bronx County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","931,269","130,366","130,651","266,034","165,362","67,935","111,989","58,932","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","14.0%","14.0%","28.6%","17.8%","7.3%","12.0%","6.3%","72.0%","18.4%"
"    Males","","","","","","","","","",""
"        Estimate","419,936","60,566","60,170","131,101","72,175","28,561","43,886","23,477","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","14.4%","14.3%","31.2%","17.2%","6.8%","10.5%","5.6%","71.2%","16.0%"
"    Females","","","","","","","","","",""
"        Estimate","511,333","69,800","70,481","134,933","93,187","39,374","68,103","35,455","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","13.7%","13.8%","26.4%","18.2%","7.7%","13.3%","6.9%","72.6%","20.3%"
"Broome County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","130,194","3,325","9,308","40,350","23,764","14,827","20,902","17,718","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","7.1%","31.0%","18.3%","11.4%","16.1%","13.6%","90.3%","29.7%"
"    Males","","","","","","","","","",""
"        Estimate","62,327","1,657","4,346","19,874","11,179","5,979","10,782","8,510","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.7%","7.0%","31.9%","17.9%","9.6%","17.3%","13.7%","90.4%","31.0%"
"    Females","","","","","","","","","",""
"        Estimate","67,867","1,668","4,962","20,476","12,585","8,848","10,120","9,208","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.5%","7.3%","30.2%","18.5%","13.0%","14.9%","13.6%","90.2%","28.5%"
"Cattaraugus County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","52,613","1,937","4,332","20,809","8,813","6,826","5,066","4,830","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.7%","8.2%","39.6%","16.8%","13.0%","9.6%","9.2%","88.1%","18.8%"
"    Males","","","","","","","","","",""
"        Estimate","25,602","1,111","2,303","10,752","4,173","2,716","2,567","1,980","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.3%","9.0%","42.0%","16.3%","10.6%","10.0%","7.7%","86.7%","17.8%"
"    Females","","","","","","","","","",""
"        Estimate","27,011","826","2,029","10,057","4,640","4,110","2,499","2,850","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.1%","7.5%","37.2%","17.2%","15.2%","9.3%","10.6%","89.4%","19.8%"
"Cayuga County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","54,630","1,596","5,524","17,112","10,379","7,288","8,154","4,577","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.9%","10.1%","31.3%","19.0%","13.3%","14.9%","8.4%","87.0%","23.3%"
"    Males","","","","","","","","","",""
"        Estimate","28,064","1,133","3,553","9,037","5,417","3,520","3,395","2,009","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.0%","12.7%","32.2%","19.3%","12.5%","12.1%","7.2%","83.3%","19.3%"
"    Females","","","","","","","","","",""
"        Estimate","26,566","463","1,971","8,075","4,962","3,768","4,759","2,568","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.7%","7.4%","30.4%","18.7%","14.2%","17.9%","9.7%","90.8%","27.6%"
"Chautauqua County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","89,506","3,700","7,110","32,249","15,968","11,265","10,444","8,770","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.1%","7.9%","36.0%","17.8%","12.6%","11.7%","9.8%","87.9%","21.5%"
"    Males","","","","","","","","","",""
"        Estimate","43,348","2,026","4,193","15,835","7,817","4,681","4,570","4,226","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.7%","9.7%","36.5%","18.0%","10.8%","10.5%","9.7%","85.7%","20.3%"
"    Females","","","","","","","","","",""
"        Estimate","46,158","1,674","2,917","16,414","8,151","6,584","5,874","4,544","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.6%","6.3%","35.6%","17.7%","14.3%","12.7%","9.8%","90.1%","22.6%"
"Chemung County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","60,288","2,099","3,196","20,103","11,245","7,067","8,787","7,791","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.5%","5.3%","33.3%","18.7%","11.7%","14.6%","12.9%","91.2%","27.5%"
"    Males","","","","","","","","","",""
"        Estimate","29,970","1,384","1,301","11,690","5,699","2,724","3,642","3,530","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.6%","4.3%","39.0%","19.0%","9.1%","12.2%","11.8%","91.0%","23.9%"
"    Females","","","","","","","","","",""
"        Estimate","30,318","715","1,895","8,413","5,546","4,343","5,145","4,261","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","6.3%","27.7%","18.3%","14.3%","17.0%","14.1%","91.4%","31.0%"
"Clinton County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","55,928","1,847","4,416","21,300","9,758","6,705","5,959","5,943","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.3%","7.9%","38.1%","17.4%","12.0%","10.7%","10.6%","88.8%","21.3%"
"    Males","","","","","","","","","",""
"        Estimate","28,959","1,078","2,592","11,776","5,021","3,195","2,997","2,300","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.7%","9.0%","40.7%","17.3%","11.0%","10.3%","7.9%","87.3%","18.3%"
"    Females","","","","","","","","","",""
"        Estimate","26,969","769","1,824","9,524","4,737","3,510","2,962","3,643","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.9%","6.8%","35.3%","17.6%","13.0%","11.0%","13.5%","90.4%","24.5%"
"Dutchess County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","203,914","5,258","15,775","53,669","35,222","23,120","40,317","30,553","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","7.7%","26.3%","17.3%","11.3%","19.8%","15.0%","89.7%","34.8%"
"    Males","","","","","","","","","",""
"        Estimate","100,726","2,732","8,619","28,254","17,468","9,948","19,911","13,794","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.7%","8.6%","28.1%","17.3%","9.9%","19.8%","13.7%","88.7%","33.5%"
"    Females","","","","","","","","","",""
"        Estimate","103,188","2,526","7,156","25,415","17,754","13,172","20,406","16,759","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","6.9%","24.6%","17.2%","12.8%","19.8%","16.2%","90.6%","36.0%"
"Erie County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","643,909","16,509","38,779","181,997","113,498","79,341","121,009","92,776","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","6.0%","28.3%","17.6%","12.3%","18.8%","14.4%","91.4%","33.2%"
"    Males","","","","","","","","","",""
"        Estimate","305,668","7,801","19,475","89,508","54,283","32,755","59,562","42,284","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.6%","6.4%","29.3%","17.8%","10.7%","19.5%","13.8%","91.1%","33.3%"
"    Females","","","","","","","","","",""
"        Estimate","338,241","8,708","19,304","92,489","59,215","46,586","61,447","50,492","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.6%","5.7%","27.3%","17.5%","13.8%","18.2%","14.9%","91.7%","33.1%"
"Jefferson County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","72,123","2,144","3,885","27,174","15,644","8,393","8,710","6,173","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.0%","5.4%","37.7%","21.7%","11.6%","12.1%","8.6%","91.6%","20.6%"
"    Males","","","","","","","","","",""
"        Estimate","36,365","1,048","2,156","15,514","7,601","3,810","4,362","1,874","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.9%","5.9%","42.7%","20.9%","10.5%","12.0%","5.2%","91.2%","17.1%"
"    Females","","","","","","","","","",""
"        Estimate","35,758","1,096","1,729","11,660","8,043","4,583","4,348","4,299","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.1%","4.8%","32.6%","22.5%","12.8%","12.2%","12.0%","92.1%","24.2%"
"Kings County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","1,791,538","159,612","176,092","450,548","242,623","110,678","394,279","257,706","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","8.9%","9.8%","25.1%","13.5%","6.2%","22.0%","14.4%","81.3%","36.4%"
"    Males","","","","","","","","","",""
"        Estimate","824,454","72,098","85,583","212,240","120,061","44,776","179,888","109,808","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.7%","10.4%","25.7%","14.6%","5.4%","21.8%","13.3%","80.9%","35.1%"
"    Females","","","","","","","","","",""
"        Estimate","967,084","87,514","90,509","238,308","122,562","65,902","214,391","147,898","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.0%","9.4%","24.6%","12.7%","6.8%","22.2%","15.3%","81.6%","37.5%"
"Livingston County, New York","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","42,505","615","3,790","14,264","7,929","5,066","6,407","4,434","(X)","(X)"
